         25700 function calls (25566 primitive calls) in 0.041 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:1058(__init__)
      256    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:776(<lambda>)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:928(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:1014(is_multigraph)
        5    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:1018(is_directed)
      660    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\filters.py:20(no_filter)
       21    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:1103(<genexpr>)
       13    0.000    0.000    0.003    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:1262(<genexpr>)
        1    0.000    0.000    0.003    0.003 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:1261(__len__)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:1362(__call__)
     1044    0.001    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\filters.py:62(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\generators\classic.py:552(empty_graph)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\filters.py:59(__init__)
        1    0.000    0.000    0.022    0.022 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:260(min_weight_matching)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\components\connected.py:111(is_connected)
       24    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:418(leaves)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:673(expandBlossom)
        1    0.000    0.000    0.005    0.005 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\tree\mst.py:559(minimum_spanning_tree)
